title,description,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film_noir,history,horror,music,musical,mystery,romance,sci_fi,short,sport,superhero,thriller,war,western,poster_path,descr_action,descr_adventure,descr_animation,descr_biography,descr_comedy,descr_crime,descr_documentary,descr_drama,descr_family,descr_fantasy,descr_film_noir,descr_history,descr_horror,descr_music,descr_musical,descr_mystery,descr_romance,descr_sci_fi,descr_short,descr_sport,descr_superhero,descr_thriller,descr_war,descr_western,label_action,label_adventure,label_animation,label_biography,label_comedy,label_crime,label_documentary,label_drama,label_family,label_fantasy,label_film_noir,label_history,label_horror,label_music,label_musical,label_mystery,label_romance,label_sci_fi,label_short,label_sport,label_superhero,label_thriller,label_war,label_western
Oliver!,"After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London.",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,./data/posters/musical/oliver_.jpg,-2.0950415,-1.3393579,-1.8531088,-4.160239,-0.22139558,-5.0947356,-3.6273065,-0.90175414,-2.2748597,-1.4209865,-6.926813,-3.7612243,-4.06111,-5.186641,-4.7139487,-4.2326236,-2.464779,-3.6631947,-1.006644,-3.7038178,-4.62889,-4.8464994,-5.5139475,-4.679074,-3.674993,-3.9881177,-4.1739917,-2.6349976,-1.7666129,-2.2531788,-0.56511855,-0.6733851,-3.7907782,-2.837924,-3.1357183,-2.718088,-0.99710727,-2.829271,-4.719664,-1.7960727,-2.3762193,-2.8477619,-1.6930339,-4.3882933,-4.6084843,-2.0056446,-3.9127393,-4.2962604
He Got Game,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,./data/posters/sport/he_got_game.jpg,-1.5814798,-2.336104,-2.1890907,-3.2667694,-0.6477486,-3.622954,-2.4045,-1.1673275,-2.9101675,-3.0870657,-5.7061872,-3.95022,-4.4423437,-6.044634,-5.9282694,-4.1914153,-3.4488063,-3.583407,-1.4272126,0.107709795,-4.6093283,-4.3388186,-5.4125924,-4.089874,-3.5222402,-3.9271605,-4.129889,-2.6671546,-1.8154973,-2.1596534,-0.5284231,-0.73623616,-3.813019,-2.7938466,-3.044678,-2.7123659,-0.90421665,-2.9982722,-4.8018045,-1.7027516,-2.4751933,-2.7350826,-1.6867974,-4.328324,-4.4838004,-1.8786584,-3.860441,-4.224396
Impact,"A unfaithful wife plots with her lover to kill her husband, but the lover is accidentally killed instead. The husband stays in hiding and lets his wife be charged with conspiracy.",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/film_noir/impact.jpg,-1.9116375,-2.4687839,-2.9415755,-3.6186554,-1.6841413,-3.5132623,-2.533113,-0.513242,-3.921104,-2.2614436,-5.0730467,-3.4284964,-3.2086391,-6.31582,-5.768372,-3.2900803,-2.7535944,-3.102796,-0.56838006,-4.0589323,-4.520665,-3.4983797,-4.9808397,-3.5421102,-3.4677324,-3.9061825,-4.1439786,-2.624258,-1.8882409,-2.14489,-0.5440807,-0.6731588,-3.811111,-2.7606416,-2.9855084,-2.6196992,-0.8768844,-3.023056,-4.808076,-1.640432,-2.4599473,-2.694494,-1.7123077,-4.351601,-4.4445367,-1.8219852,-3.7779517,-4.214199
The Kingdom,"Doctors at an ultramodern hospital in Denmark become convinced, by way of weird, inexplicable happenings, that the place is haunted.",0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,./data/posters/comedy/the_kingdom.jpg,-2.181888,-2.3755298,-2.6159983,-3.457066,-1.3728616,-3.6358762,-1.8587205,-0.48087656,-3.6272376,-1.946019,-5.1366596,-3.3292096,-2.8731103,-5.7712884,-5.592482,-3.0546398,-2.8936372,-2.3964841,-0.26300356,-3.499644,-4.371739,-3.4317286,-5.044788,-4.323579,-3.52246,-3.8313165,-3.9757478,-2.80509,-1.7337623,-2.2519958,-0.55916345,-0.8794395,-3.6906726,-2.7134824,-3.1795623,-2.821096,-0.8466647,-2.8925397,-4.6983714,-1.738622,-2.4761648,-2.720857,-1.6180431,-4.4510736,-4.4517016,-1.9226667,-3.9373555,-4.2578
Invictus,"Nelson Mandela, in his first term as President of South Africa, initiates a unique venture to unite the Apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup.",1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,./data/posters/history/invictus.jpg,-0.7627267,-1.9686862,-2.3293355,-2.115353,-1.97444,-3.707076,-1.4439325,-0.62350726,-3.4127717,-3.3465445,-5.756007,-2.149561,-4.5798507,-5.91039,-6.1424937,-4.3305597,-4.2225924,-3.4778178,-1.8630923,0.67498326,-4.689368,-3.7827716,-4.044767,-4.00816,-3.462158,-3.9037688,-4.1473556,-2.6153612,-1.8936547,-2.1569214,-0.56627446,-0.6616844,-3.8196719,-2.7762532,-3.0068398,-2.61471,-0.9003111,-3.0379355,-4.825284,-1.6542698,-2.4621034,-2.710336,-1.7229306,-4.3447924,-4.4645686,-1.8378052,-3.772007,-4.204039
Tourism Australia: Dundee - The Son of a Legend Returns Home,"Brian Dundee tries to locate his father, Crocodile Dundee, in the Australian Outback.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,./data/posters/short/tourism_australia__dundee___the_son_of_a_legend_returns_home.jpg,-2.2645361,-2.1404686,-2.1985505,-3.2029352,-1.2963026,-3.074541,-1.2368138,-1.2130595,-3.5099323,-2.461599,-5.0223236,-3.263997,-3.1578803,-5.7596893,-5.529224,-3.1178086,-3.4213266,-2.7440994,-0.052634362,-3.1970363,-4.3734527,-3.6077616,-5.2140794,-4.024895,-3.5951953,-3.848679,-3.925886,-2.933459,-1.6042181,-2.297572,-0.4090084,-1.1115988,-3.6489518,-2.773204,-3.3569822,-2.951708,-0.9400593,-2.8289597,-4.641644,-1.9070373,-2.5744917,-2.8259182,-1.5067707,-4.434171,-4.5072184,-2.093047,-4.0550175,-4.26335
Les papillons noirs,"Albert Desiderio, a humble retired man, decides to hire a novelist to write his memoirs. But the amazing love story Albert shared with Solange during the 70's turns out to be the confession of a serial killers couple.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,./data/posters/crime/les_papillons_noirs.jpg,-1.9836073,-2.46055,-2.5040784,-3.0580475,-1.1058886,-2.8757927,-1.9218633,-0.72391814,-3.730518,-2.462837,-5.1131334,-3.0517766,-3.590167,-5.939648,-5.596268,-3.3427722,-3.109579,-3.1667516,-0.32364026,-3.420241,-4.3615537,-3.6320803,-5.107009,-3.9613945,-3.4983208,-3.9211771,-4.1369715,-2.6545663,-1.882087,-2.13873,-0.54013205,-0.7015026,-3.8184035,-2.7808623,-3.0172038,-2.66344,-0.8908186,-3.0184023,-4.809637,-1.6686121,-2.4789917,-2.734157,-1.6988066,-4.3712683,-4.4769177,-1.8473557,-3.8165286,-4.204913
Patriots Day,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/history/patriots_day.jpg,-0.26717588,-2.0832748,-3.2014453,-2.754302,-2.3792493,-2.8010805,-2.1752114,-0.29200473,-4.618888,-2.854422,-5.4326425,-1.7385575,-3.9052162,-6.7379107,-6.521403,-3.458336,-3.9247556,-2.6104088,-1.433198,-3.4794407,-4.2295823,-2.6505663,-3.3462384,-4.0105047,-3.4495783,-3.9289703,-4.1517215,-2.658215,-1.8996702,-2.1110709,-0.5643258,-0.7256552,-3.8605537,-2.8149793,-3.0356321,-2.6505597,-0.878582,-3.099253,-4.8764,-1.651845,-2.5825772,-2.7392812,-1.7307979,-4.3754253,-4.4921875,-1.8098472,-3.7953482,-4.1972666
Zoey's Extraordinary Playlist,A young woman discovers she has the ability to hear the innermost thoughts of people around her as songs and musical numbers.,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,./data/posters/musical/zoey_s_extraordinary_playlist.jpg,-2.5574157,-2.1284008,-2.0583239,-3.7117698,-1.4786712,-4.1009207,-1.9042634,-1.6610986,-3.4334474,-2.9029868,-6.205391,-3.516422,-3.9654486,-3.743661,-4.63129,-4.4305773,-3.6988778,-4.089809,-0.7660051,-4.3833146,-5.187199,-4.6317477,-5.801595,-4.1918187,-3.603539,-3.9308202,-4.1009073,-2.7031322,-1.7501197,-2.2454128,-0.47829545,-0.78663975,-3.7549014,-2.7630613,-3.1239753,-2.7310498,-0.9249563,-2.8565114,-4.698763,-1.7579737,-2.4202294,-2.7750237,-1.6236174,-4.387875,-4.516057,-1.9674512,-3.9099278,-4.262608
The Unforgiven,The neighbors of a frontier family turn on them when it is suspected that their adopted daughter was stolen from the local Kiowa tribe.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,./data/posters/western/the_unforgiven.jpg,-1.7888291,-1.7896377,-2.7193377,-3.8752007,-1.950503,-3.671782,-2.6639361,-1.0230751,-3.8863254,-3.0974064,-5.4384084,-3.6049814,-3.845847,-6.5638213,-6.1052356,-3.8418102,-3.496655,-3.2473385,-1.0788522,-4.0209537,-4.9776974,-3.8998983,-5.3826323,-2.32901,-3.537177,-3.8470054,-3.9949462,-2.802487,-1.7288502,-2.247796,-0.5431796,-0.88590634,-3.6988745,-2.7381685,-3.1858985,-2.8326185,-0.8765559,-2.8799832,-4.695134,-1.7625217,-2.4740689,-2.739346,-1.6162668,-4.442961,-4.470192,-1.9444721,-3.9452896,-4.2462125
Superman IV: The Quest for Peace,"The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,./data/posters/superhero/superman_iv__the_quest_for_peace.jpg,-0.3754898,-1.4863452,-2.678318,-2.9587896,-2.3137288,-3.509974,-1.9666712,-0.5193651,-4.2300673,-2.5852578,-5.6290407,-1.7000569,-4.22876,-6.4220543,-6.2088614,-3.974845,-3.5011244,-2.7242622,-1.1018755,-3.5636308,-4.199404,-3.4362485,-3.8297045,-3.9351287,-3.40466,-3.7945197,-3.95174,-2.9134183,-1.7491482,-2.254362,-0.52864385,-1.0286288,-3.7540774,-2.7572074,-3.3276277,-2.8696363,-0.90455145,-3.0293353,-4.791969,-1.8238108,-2.6693134,-2.7397668,-1.5926559,-4.4771442,-4.4354024,-1.9771715,-3.9828093,-4.203263
Black Hand,"Now grown-up, Johnny Columbo returns to New York from Italy having sworn a vendetta against the Black Hand who killed his father years earlier. Becoming romantically involved with a girl from school and meeting up with an honest cop also fighting the gangs, Columbo starts to wonder if there may be legal ways to defeat them.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,./data/posters/film_noir/black_hand.jpg,-1.3181024,-2.8909037,-2.8188927,-3.1148489,-1.4498986,-1.4292729,-2.3128917,-0.85292083,-4.2215652,-3.3567936,-4.695717,-3.4290829,-3.8909013,-6.241163,-6.0884423,-3.276882,-3.82151,-3.6756217,-0.84250957,-3.4534626,-4.237728,-3.2410965,-5.200956,-3.6897485,-3.4517548,-3.9058917,-4.123865,-2.6762793,-1.9068633,-2.1014774,-0.5544827,-0.71836454,-3.8333516,-2.7520146,-2.9775882,-2.6592114,-0.8234939,-3.0873654,-4.846198,-1.6017374,-2.5335824,-2.701164,-1.7180458,-4.388041,-4.4404945,-1.7803813,-3.8070266,-4.190168
Bones and All,"Maren, a young woman, learns how to survive on the margins of society.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,./data/posters/drama/bones_and_all.jpg,-1.8533802,-2.1787136,-2.4450727,-3.1888516,-1.5121404,-3.3971572,-1.7022073,-0.5232959,-3.5784485,-2.0263772,-5.00062,-3.0885053,-3.0353985,-5.692984,-5.4736104,-3.117779,-2.900148,-2.4944277,-0.26002297,-3.3439991,-4.2109146,-3.4579835,-4.8471446,-4.055109,-3.5279644,-3.9095743,-4.116745,-2.6844165,-1.8481127,-2.1611156,-0.5268659,-0.7348156,-3.7873185,-2.7347808,-2.9905405,-2.682084,-0.82060814,-3.0121543,-4.7893248,-1.624788,-2.4496212,-2.7209578,-1.6905241,-4.3790483,-4.4570327,-1.8249041,-3.8273635,-4.210197
Fate: The Winx Saga,"A live-action adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers.",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/action/fate__the_winx_saga.jpg,-1.6556759,-1.9039305,-2.085721,-4.041873,-1.4090471,-3.6927326,-1.9634013,-1.3260213,-3.3857603,-1.6121848,-5.4924808,-3.8904634,-2.8728898,-5.6277347,-5.4155374,-3.0899196,-3.315215,-2.466166,-0.20417847,-3.974631,-4.011746,-3.7191586,-5.315527,-4.5490675,-3.483057,-3.8068516,-3.9495816,-2.854773,-1.7268633,-2.2516158,-0.5133445,-0.95110565,-3.6878095,-2.6982117,-3.2037568,-2.844214,-0.82705534,-2.9331088,-4.709573,-1.7381545,-2.5230396,-2.6992335,-1.5854787,-4.452156,-4.4186587,-1.9203727,-3.9458416,-4.2465286
Camelot,"The story of the marriage of England's King Arthur to Guinevere. The plot of illegitimate Mordred to gain the throne and Guinevere's growing attachment to Sir Lancelot, threaten to topple Arthur and destroy his ""round table"" of knights.",0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,./data/posters/musical/camelot.jpg,-2.071516,-1.4968085,-1.911119,-3.5276847,-1.0254915,-4.7199163,-2.7272985,-0.9262384,-2.9284902,-1.9202946,-6.5872493,-2.5669816,-4.3857956,-5.04677,-4.782537,-4.488209,-2.7134814,-4.2628055,-0.5520347,-3.9563375,-4.9130416,-4.7601213,-5.1635942,-4.477307,-3.505813,-3.8982232,-4.1204247,-2.6657012,-1.8613136,-2.1979172,-0.5606166,-0.6967195,-3.7898953,-2.7528994,-3.04708,-2.6535323,-0.88964957,-3.0048304,-4.797749,-1.6771302,-2.4514513,-2.730855,-1.6976105,-4.3877006,-4.47603,-1.8734595,-3.813,-4.2311916
The Good Fight,"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/crime/the_good_fight.jpg,-1.8375365,-2.2414768,-2.3037,-3.0697443,-1.3732437,-2.925556,-1.4250413,-0.8686435,-3.5827384,-2.4723883,-4.885016,-3.2272997,-3.4394248,-5.673482,-5.586176,-3.2482655,-3.3269238,-2.6329222,-0.2430986,-3.0109258,-4.2354503,-3.564508,-5.0977273,-4.083932,-3.5387619,-3.8511336,-3.9850774,-2.8179996,-1.7053742,-2.2391756,-0.5395392,-0.91136146,-3.7009492,-2.7496343,-3.2019591,-2.8586488,-0.88333213,-2.8815944,-4.69633,-1.7815882,-2.4941676,-2.7435377,-1.6068183,-4.431536,-4.4683504,-1.951532,-3.9654515,-4.2500615
Charlie Says,The tragic tale of an all-American girl who was transformed into a cold-blooded killer in the summer of 1969.,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/biography/charlie_says.jpg,-1.6821432,-2.3186705,-2.46328,-2.9149344,-1.4501039,-2.9767098,-1.471059,-0.612198,-3.7103434,-2.2843695,-4.9793186,-2.6924508,-3.2021525,-5.6402144,-5.512327,-3.1777751,-3.154368,-2.6748075,-0.3245601,-3.181958,-4.1408296,-3.3453596,-4.712195,-4.132742,-3.4756992,-3.8947833,-4.104605,-2.6591911,-1.8527263,-2.1484845,-0.5294198,-0.73081046,-3.7885342,-2.7519193,-3.0111523,-2.661452,-0.86546737,-3.0074787,-4.788709,-1.6533507,-2.476171,-2.6965914,-1.6820742,-4.3543634,-4.4419727,-1.8374047,-3.809621,-4.204317
Händelse vid bank,"An attempted bank robbery. Follows the thought process of two confused witnesses, the filmographer and the producer.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,./data/posters/short/händelse_vid_bank.jpg,-1.4040635,-2.341949,-2.3816576,-2.7203162,-1.4358363,-1.634413,-1.6498122,-0.8399075,-3.7268803,-2.633747,-4.0520353,-3.011446,-3.3855798,-5.6402326,-5.276569,-2.7981296,-3.2537205,-2.7608716,-0.28931203,-3.0854633,-3.7594256,-3.011267,-4.707334,-3.4039857,-3.4191847,-3.8491833,-4.0452514,-2.708322,-1.8076727,-2.158528,-0.4921457,-0.820408,-3.7629344,-2.7382848,-3.0588036,-2.694929,-0.8617217,-3.0371797,-4.7924285,-1.6750821,-2.5435565,-2.6749654,-1.6320914,-4.339635,-4.3974733,-1.8524503,-3.8202064,-4.191115
Tome of the Unknown,"Tome Of The Unknown is an animated short about Wirt and Gregory who get tired of walking so they borrow a car from a romantic songster made of vegetables. This film was produced by Cartoon Network Studios in Burbank, CA and stars Elijah Wood as Wirt.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,./data/posters/short/tome_of_the_unknown.jpg,-2.7156067,-1.7871495,-1.3327365,-4.1155686,-0.7886877,-3.8081293,-1.6763558,-2.3897588,-3.2780745,-2.501596,-5.7593,-3.9859252,-3.265947,-5.458262,-5.128314,-3.770821,-3.7773497,-3.0430312,0.6378762,-4.145214,-4.4240665,-4.1612372,-5.6728745,-4.2698245,-3.5379543,-3.825954,-3.9484744,-2.829148,-1.6925975,-2.2553217,-0.52392995,-0.9363418,-3.6650338,-2.7058325,-3.1974552,-2.8563757,-0.841638,-2.8601458,-4.666938,-1.7602258,-2.481294,-2.724178,-1.5836247,-4.444914,-4.444419,-1.9427849,-3.9660263,-4.2487216
X-Men: The Animated Series,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/animation/x_men__the_animated_series.jpg,-0.3202838,-1.321187,-1.9968191,-3.7061725,-1.2805158,-3.0868518,-2.494326,-1.0909336,-3.471326,-2.0874612,-5.730077,-3.4595413,-3.7114098,-6.369073,-5.8942738,-3.504952,-3.4747906,-2.1271365,-0.7546251,-3.0490825,-3.1709335,-3.7561193,-4.881344,-4.268858,-3.3296437,-3.6317213,-3.7657228,-3.070848,-1.6763262,-2.353169,-0.48965594,-1.2110231,-3.605811,-2.5696654,-3.4060736,-2.9271579,-0.7558872,-3.0468705,-4.7220244,-1.7897223,-2.714679,-2.6396554,-1.4606388,-4.4695992,-4.3044224,-1.9761053,-4.020314,-4.259119
Red vs. Blue,"After the Halo event of 2552, there is a brief but violent period of civil war among the humans. Two armies on opposite sides of a canyon, the Reds and Blues, fight in the most worthless piece of real estate in the galaxy.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,./data/posters/short/red_vs__blue.jpg,-1.5519258,-1.9824308,-2.1269782,-3.6337047,-1.4268905,-3.2972615,-1.6702418,-1.4399899,-3.744547,-2.4832308,-5.2763057,-3.5004013,-3.3783228,-5.910831,-5.6529145,-3.4682565,-3.4905694,-2.4910529,-0.14809406,-3.7217484,-4.1054335,-3.63193,-5.1541514,-4.050357,-3.487911,-3.8986382,-4.084769,-2.7319667,-1.8009399,-2.1792965,-0.50052744,-0.8202951,-3.7862573,-2.7729905,-3.0927014,-2.7628362,-0.88707817,-2.9857466,-4.7826724,-1.7123798,-2.524894,-2.7040126,-1.6470441,-4.3603964,-4.4518175,-1.883817,-3.8954506,-4.2294335
Wild Wild Country,"When Osho, the world's most controversial guru, builds an Utopian city deep in the Oregon country, conflict with the locals escalates into a national scandal.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/documentary/wild_wild_country.jpg,-2.0460145,-2.2055256,-2.3848207,-3.2835414,-1.5178384,-3.111399,-1.1316402,-1.3414034,-3.8234432,-2.550706,-5.090003,-3.2326078,-3.2874026,-5.842455,-5.6941004,-3.2762034,-3.6439245,-2.6515546,-0.16948475,-3.3882554,-4.3857923,-3.6009984,-5.2524285,-3.9812298,-3.5111747,-3.8957222,-4.1204596,-2.6980083,-1.8702204,-2.1476305,-0.50749063,-0.7739205,-3.811665,-2.7863438,-3.0293715,-2.665529,-0.8598531,-3.0617151,-4.816843,-1.6664785,-2.5464182,-2.7692235,-1.6882302,-4.403414,-4.4928803,-1.8613611,-3.8261058,-4.1388116
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,./data/posters/crime/no_country_for_old_men.jpg,-1.536477,-2.5536084,-3.0811133,-3.28565,-1.9995522,-2.1961327,-1.9043398,-0.8367051,-4.405791,-3.1096458,-4.6137547,-3.3092203,-3.3707938,-6.5586886,-6.3067822,-3.0375872,-3.7161772,-2.7837029,-0.7729774,-3.6925063,-4.4987164,-3.0820253,-5.1236167,-3.2779224,-3.5236714,-3.9378207,-4.1565237,-2.6432676,-1.8879151,-2.110854,-0.5235454,-0.7052289,-3.834117,-2.8064961,-2.9804258,-2.6386456,-0.8682726,-3.0394433,-4.8228025,-1.6465738,-2.5043063,-2.7629344,-1.7153145,-4.3744555,-4.4980583,-1.8346593,-3.7988513,-4.1580286
Vice,"The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today.",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/biography/vice.jpg,-2.4699266,-2.5191212,-2.6973472,-3.0055194,-1.1191596,-3.6313944,-1.9561138,-0.935289,-3.729488,-3.207948,-5.594629,-3.1293368,-4.4858413,-6.264565,-5.965841,-4.2508516,-3.397454,-3.76134,-0.6885639,-3.0060732,-5.1996284,-4.4360957,-5.319758,-3.7984936,-3.4905632,-3.9234347,-4.1511374,-2.6287584,-1.885588,-2.1379716,-0.5628136,-0.66615194,-3.8223724,-2.7718852,-2.9902003,-2.6371467,-0.8812049,-3.0324786,-4.8225765,-1.639884,-2.4623318,-2.7158115,-1.726839,-4.3604164,-4.4704385,-1.8249621,-3.797766,-4.223772
High Society,"With socialite Tracy Lord about to remarry, her ex-husband - with the help of a sympathetic reporter - has 48 hours to convince her that she really still loves him.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,./data/posters/musical/high_society.jpg,-2.376681,-2.6501617,-2.6734414,-3.6010103,-0.47348747,-4.3610907,-2.9280667,-0.51467454,-3.331689,-2.3050315,-5.706437,-3.8277347,-4.0248127,-5.640127,-5.3039727,-4.186317,-1.853088,-3.4886222,-0.45822588,-3.4200995,-4.647215,-4.3688164,-5.4702363,-4.3253145,-3.5320895,-3.9369633,-4.135157,-2.6807814,-1.8433207,-2.1589622,-0.53052527,-0.72162944,-3.809935,-2.7811208,-3.021124,-2.6814332,-0.8914212,-3.0045474,-4.8048444,-1.6704419,-2.4715536,-2.7396765,-1.6980435,-4.3793917,-4.481231,-1.8682827,-3.8422022,-4.229534
Stage Fright,A struggling actress tries to help a friend prove his innocence after he's accused of murdering the husband of a high-society entertainer.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,./data/posters/film_noir/stage_fright.jpg,-2.1177752,-2.4580476,-2.5125263,-3.2810023,-0.87657255,-3.4723096,-2.4238544,-0.574849,-3.4194188,-2.423751,-5.1050496,-3.3407388,-3.671859,-5.850343,-5.411003,-3.611064,-2.5906954,-3.31525,-0.37003574,-3.3634102,-4.5172825,-3.9141257,-5.177238,-3.7392535,-3.479707,-3.8798635,-4.0713906,-2.716262,-1.857823,-2.147341,-0.5251452,-0.7668633,-3.7754307,-2.6988187,-2.9892893,-2.6872442,-0.77734333,-3.0332453,-4.7949834,-1.5935792,-2.502645,-2.675581,-1.6699306,-4.389496,-4.410663,-1.7856176,-3.8300385,-4.2348313
Chesapeake Shores,"A young woman returns to her hometown to help save her sister's failing inn, where she contends with memories and faces from her past.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/drama/chesapeake_shores.jpg,-1.7367871,-2.1749682,-2.3914564,-3.38009,-1.2394949,-3.3879259,-2.157602,-0.6778381,-3.4902775,-2.2052755,-5.1865234,-3.2801027,-3.4604487,-5.9967904,-5.589848,-3.380769,-2.892056,-2.918443,-0.35849574,-3.3438966,-4.307185,-3.715685,-5.010448,-3.9112356,-3.4865618,-3.9224722,-4.1563153,-2.667845,-1.8944323,-2.1246278,-0.5599761,-0.7146253,-3.844029,-2.8081784,-3.0013897,-2.6642172,-0.8918734,-3.0840523,-4.859851,-1.6564656,-2.5255406,-2.7357466,-1.7279724,-4.373644,-4.4844155,-1.838474,-3.8188257,-4.191705
Catherine Called Birdy,A 14 year old girl in medieval England navigates through life and avoiding potential suitors her father has in mind.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/adventure/catherine_called_birdy.jpg,-1.3892931,-1.845577,-2.3457253,-3.3077834,-1.5070454,-3.7892728,-2.1311429,-0.35647956,-3.433898,-1.814041,-5.4528985,-2.745541,-3.4497828,-5.6893187,-5.5022516,-3.4075656,-2.8062801,-2.7408397,-0.56916595,-3.317878,-4.2591133,-3.68919,-4.538962,-4.313876,-3.484414,-3.8820405,-4.095238,-2.6721234,-1.8461803,-2.1800115,-0.52092516,-0.7431528,-3.7809553,-2.7502031,-3.047799,-2.6454067,-0.8701565,-3.0078218,-4.788023,-1.6724399,-2.4826713,-2.7179055,-1.672183,-4.3694406,-4.452397,-1.867267,-3.8110733,-4.1907043
China Beach,"The trials of a weary nurse, her friends and colleagues in a Vietnam War field hospital.",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,./data/posters/history/china_beach.jpg,-1.4085951,-2.319976,-3.0071814,-3.3367205,-1.2297198,-3.8578348,-2.859629,0.05918421,-3.8458815,-2.357689,-5.498385,-2.5455933,-3.9799182,-6.140883,-5.787339,-3.7282712,-2.60644,-3.0578449,-0.8677098,-3.5882213,-4.6405544,-3.4953876,-3.3066905,-4.184019,-3.4906535,-3.911464,-4.1420736,-2.6607413,-1.8780352,-2.163113,-0.5455743,-0.71069765,-3.8176575,-2.7825146,-3.0252566,-2.6564734,-0.90117836,-3.030288,-4.8189297,-1.6773279,-2.4865432,-2.7214148,-1.7051805,-4.3672147,-4.4723234,-1.8550011,-3.8150022,-4.22681
